mmsi,vessel_type
0,NOT_FOUND
529485,NOT_FOUND
1117056,NOT_FOUND
5250012,NOT_FOUND
5330050,NOT_FOUND
5330521,NOT_FOUND
5631100,NOT_FOUND
5631101,NOT_FOUND
5631102,NOT_FOUND
5631103,NOT_FOUND
5631104,NOT_FOUND
5631105,NOT_FOUND
5631106,NOT_FOUND
5631107,NOT_FOUND
5631108,NOT_FOUND
5631112,NOT_FOUND
5631114,NOT_FOUND
5631116,NOT_FOUND
5631126,NOT_FOUND
5631128,NOT_FOUND
5631133,NOT_FOUND
5631139,NOT_FOUND
9134046,NOT_FOUND
111111111,NOT_FOUND
123456789,NOT_FOUND
135439681,NOT_FOUND
205051000,Cargo
205083000,Cargo
205224000,Cargo
205228000,Tanker
205235000,Cargo
205239000,Cargo D
205278000,Cargo
205298000,Trailing Suction Hopper Dredger
205331000,Other Type
205353000,Cargo
205401000,Cargo
205422000,Cargo
205522000,Tanker
205560000,Cargo
205569000,Bulk Carrier
205657000,Crude Oil Tanker
205670000,Crude Oil Tanker
205706000,Tanker D
205744000,Trailing Suction Hopper Dredger
205783000,Bulk Carrier
205789000,Cargo
205881910,Sailing
209004000,Cargo
209012000,Bulk Carrier
209034000,Bulk Carrier
209058000,Bulk Carrier
209064000,Cargo
209111000,Cargo
209112000,Cargo
209157000,Work Vessel
209171000,Bulk Carrier
209243000,Bulk Carrier
209251000,Container Ship
209270000,Bulk Carrier
209279000,Bulk Carrier
209287000,Cargo
209363000,Bulk Carrier
209370000,Container Ship
209384000,Bulk Carrier
209388000,Cargo
209390000,Cargo
209423000,Container Ship
209443000,Bulk Carrier
209451000,General Cargo
209469000,Trailing Suction Hopper Dredger
209485000,Bulk Carrier
209527000,Trailing Suction Hopper Dredger
209538000,Cargo
209566000,Cargo
209592000,General Cargo
209594000,General Cargo
209596000,Bulk Carrier
209605000,Cargo
209607000,Cargo
209615000,Container Ship
209631000,Vehicles Carrier
209652000,Cargo
209669000,Cargo
209682000,Cargo
209687000,Cargo
209690000,Cargo
209691000,Cargo
209692000,Cargo
209694000,Cargo
209722000,Bulk Carrier
209723000,Bulk Carrier
209744000,Bulk Carrier
209754000,Bulk Carrier
209756000,Bulk Carrier
209761000,Bulk Carrier
209765000,Bulk Carrier
209782000,Bulk Carrier
209784000,Cargo
209785000,Bulk Carrier
209795000,Container Ship
209831000,Cargo
209838000,Tanker
209851000,Cable Layer
209879000,Bulk Carrier
209893000,Cargo
209927000,Bulk Carrier
209961000,Cargo
209964000,Cargo
209979000,Container Ship
210025000,Cargo
210040000,General Cargo
