Jenis Kapal,Jumlah (Unit)
Cargo,3615
Bulk Carrier,2299
Tanker,1955
Container Ship,1147
Crude Oil Tanker,722
Oil/Chemical Tanker,669
Cargo A,530
Tug,423
General Cargo,415
Oil Products Tanker,338
Vehicles Carrier,264
Cargo D,214
Other Type,193
Lpg Tanker,155
Tanker B,143
Lng Tanker,125
Not available,121
Passenger,93
Fishing,90
Tanker D,83
Ore Carrier,60
NOT_FOUND,57
Pleasure Craft,52
Tanker A,50
Anchor Handling Vessel,43
Cargo B,41
Passengers Ship,38
Cargo C,38
High speed craft,36
Navigation Aid,36
Towing,32
Dredging or underwater ops,31
Bunkering Tanker,29
Chemical Tanker,28
Reserved for future use,25
Tanker C,24
Wood Chips Carrier,24
Sailing,21
Pilot Vessel,21
Asphalt/Bitumen Tanker,20
Ro-Ro Cargo,19
Reefer,19
Offshore Supply Ship,18
Military ops,18
Heavy Lift Vessel,16
Trailing Suction Hopper Dredger,14
Heavy Load Carrier,12
Cable Layer,11
Ro-Ro/Passenger Ship,9
Port Tender,8
Search and Rescue vessel,8
Towing > 200m OR Breadth > 25m,7
Research/Survey Vessel,7
Bulker,6
Wing in ground,6
---,6
Diving Support Vessel,6
Law Enforcement,5
Replenishment Vessel,5
Cement Carrier,5
ERROR,5
Multi Purpose Offshore Vessel,5
Landing Craft,5
Diving ops,5
Yacht,4
Lpg/Chemical Tanker,4
Work Vessel,3
Training Ship,3
Shuttle Tanker,3
Deck Cargo Ship,3
Spare - Local Vessel,2
Noncombatant ship,2
Reserved,2
Other Type B,2
Pipelay Crane Vessel,2
Offshore Construction Jack Up,1
Ore/Oil Carrier,1
Self Discharging Bulk Carrier,1
Obo Carrier,1
Fish Carrier,1
Livestock Carrier,1
Motor Hopper,1
Passenger D,1
Fishing Vessel,1
Other Type A,1
Crane Jack Up,1
Passenger A,1
Wing in ground B,1
Standby Safety Vessel,1
Drilling Jack Up,1
Water Tanker,1
Pusher Tug,1
Crew Boat,1
Buoy-laying Vessel,1
Passengers Landing Craft,1
Floating Sheerleg,1
High speed craft B,1
Other Type D,1
Anti-pollution equipment,1
Wing in ground A,1
Cutter Suction Dredger,1
