mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
212131000,525121059,2024-09-11 13:02:00+00:00,2024-09-12 19:32:00+00:00,35,-6.010180833333333,105.95856771428572
215626000,416056000,2024-08-26 04:02:00+00:00,2024-09-01 01:35:00+00:00,44,-6.010789507575757,105.95684797348484
215626000,525701581,2024-08-24 16:30:00+00:00,2024-09-02 02:02:00+00:00,43,-6.013517984496123,105.95704893410853
215626000,538007490,2024-08-27 02:32:00+00:00,2024-09-02 14:17:00+00:00,34,-6.009629607843137,105.95761350490194
229697000,371247000,2024-07-05 16:00:00+00:00,2024-07-08 06:00:00+00:00,42,-6.010456408730159,105.95675291666666
229697000,525501695,2024-07-06 19:30:00+00:00,2024-07-08 08:30:00+00:00,43,-6.0146660465116275,105.95615606589148
232027170,525800162,2024-07-25 23:15:00+00:00,2024-07-28 22:34:00+00:00,55,-6.010916833333333,105.95627866666668
232027170,636018821,2024-07-24 22:01:00+00:00,2024-07-28 11:34:00+00:00,41,-6.009590548780488,105.95915918699187
256741000,352978143,2024-09-29 22:35:00+00:00,2024-10-03 01:32:00+00:00,68,-6.012558063725491,105.95456307598039
256741000,352986153,2024-09-28 14:50:00+00:00,2024-10-01 05:32:00+00:00,64,-6.012846601562501,105.95429378906252
256741000,525016693,2024-09-24 05:02:00+00:00,2024-10-08 09:02:00+00:00,32,-6.014136796875,105.95620393229166
256741000,525201763,2024-10-03 02:02:00+00:00,2024-10-07 13:02:00+00:00,83,-6.013275040160643,105.95547007028115
256741000,636016657,2024-10-05 22:02:00+00:00,2024-10-09 11:02:00+00:00,78,-6.010657158119657,105.95797840811967
351108000,477537500,2024-10-26 23:39:00+00:00,2024-10-31 11:00:00+00:00,50,-6.013676566666668,105.95661890000001
351108000,525701581,2024-10-26 23:00:00+00:00,2024-10-31 11:30:00+00:00,52,-6.017644278846153,105.95647940705128
351108000,525701730,2024-10-28 00:30:00+00:00,2024-10-29 10:00:00+00:00,42,-6.0143426785714285,105.95590289682539
351108000,538005790,2024-10-26 21:30:00+00:00,2024-10-31 11:00:00+00:00,75,-6.014165766666666,105.9565324888889
351108000,563189300,2024-10-28 10:30:00+00:00,2024-10-31 00:00:00+00:00,61,-6.016596379781421,105.95354868852458
352001155,371247000,2024-07-09 10:01:00+00:00,2024-07-11 04:01:00+00:00,39,-6.011125790598291,105.95651249999999
352001155,373267000,2024-07-09 11:31:00+00:00,2024-07-10 16:31:00+00:00,33,-6.0116463636363635,105.95551171717173
352003160,413387260,2024-07-24 16:35:00+00:00,2024-07-28 06:05:00+00:00,36,-6.008767870370369,105.95893939814815
352003160,567072800,2024-07-22 15:01:00+00:00,2024-07-25 09:04:00+00:00,31,-6.009994032258063,105.95729212365593
352003271,525010240,2024-09-15 00:30:00+00:00,2024-09-16 06:00:00+00:00,43,-6.009470988372092,105.95941773255814
352003271,538006720,2024-09-15 00:30:00+00:00,2024-09-16 08:00:00+00:00,41,-6.013372621951219,105.95380296747969
352003432,525001121,2024-10-03 08:30:00+00:00,2024-10-05 16:00:00+00:00,59,-5.953757754237288,105.98273197740113
352003432,525002068,2024-09-28 09:30:00+00:00,2024-10-01 13:00:00+00:00,66,-5.954502676767677,105.98277366161616
352003432,525002069,2024-09-28 09:30:00+00:00,2024-10-05 01:00:00+00:00,49,-5.954207142857142,105.9770349319728
352003432,525004089,2024-09-28 09:00:00+00:00,2024-10-04 21:00:00+00:00,41,-5.952368008130081,105.9817168902439
352003432,525007397,2024-09-28 09:00:00+00:00,2024-10-03 13:30:00+00:00,37,-5.951985337837838,105.97647948198197
352003432,525015381,2024-09-29 21:33:00+00:00,2024-10-05 02:30:00+00:00,133,-5.956218577694235,105.98191632205514
352003432,525022330,2024-09-28 09:00:00+00:00,2024-10-03 09:00:00+00:00,124,-5.950328635752688,105.98140997983872
352003432,525024001,2024-09-28 09:00:00+00:00,2024-10-05 16:00:00+00:00,195,-5.95061455982906,105.98307588888889
352003432,525024056,2024-09-29 19:00:00+00:00,2024-10-02 23:30:00+00:00,54,-5.953436033950617,105.98079816358025
352003432,525200126,2024-09-28 09:00:00+00:00,2024-10-01 09:00:00+00:00,87,-5.952764827586207,105.98321256704982
352978134,525701730,2024-10-30 14:02:00+00:00,2024-10-31 19:32:00+00:00,35,-6.0112861904761905,105.9558261904762
354161000,525701152,2024-10-06 08:30:00+00:00,2024-10-08 11:00:00+00:00,31,-6.016055241935483,105.95538924731184
354161000,525701581,2024-10-06 08:30:00+00:00,2024-10-09 06:00:00+00:00,81,-6.015362767489711,105.95599311728398
354432000,525010240,2024-09-30 08:30:00+00:00,2024-10-01 10:00:00+00:00,31,-6.00057064516129,105.93182163978496
355706000,371247000,2024-07-07 08:04:00+00:00,2024-07-11 08:31:00+00:00,43,-6.010883100775194,105.95819513565891
356048000,538005855,2024-08-14 00:32:00+00:00,2024-08-16 23:32:00+00:00,74,-6.010892736486487,105.9567436036036
356048000,538008025,2024-08-15 21:02:00+00:00,2024-08-16 23:32:00+00:00,32,-6.012183151041667,105.95498416666666
357053000,525300226,2024-09-02 14:00:00+00:00,2024-09-05 07:30:00+00:00,57,-6.015196769005847,105.95774356725147
357081000,525121059,2024-10-10 01:01:00+00:00,2024-10-11 15:31:00+00:00,36,-6.010298472222222,105.95705557870372
371247000,525501695,2024-07-06 19:30:00+00:00,2024-07-08 11:30:00+00:00,38,-6.013163837719298,105.95776706140352
371844000,477684600,2024-09-16 15:02:00+00:00,2024-09-17 13:02:00+00:00,30,-6.009624638888888,105.95815052777776
371844000,566850000,2024-10-14 04:34:00+00:00,2024-10-16 14:01:00+00:00,34,-6.013767034313726,105.95651382352942
371844000,636018880,2024-09-16 15:02:00+00:00,2024-09-17 17:02:00+00:00,30,-6.009968972222223,105.95886605555555
373619000,636020967,2024-08-05 10:32:00+00:00,2024-08-06 15:02:00+00:00,32,-6.010062994791667,105.95765005208332
413381010,538006720,2024-09-15 12:30:00+00:00,2024-09-17 06:30:00+00:00,44,-6.015217992424241,105.95203912878787
413387260,525119221,2024-07-28 00:00:00+00:00,2024-07-30 11:30:00+00:00,62,-6.008616680107528,105.96072338709675
