mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
311000622,352003328,2024-11-10 17:05:00+00:00,2024-11-10 19:05:00+00:00,11,-6.015156742424242,105.9520246969697
311000622,352003328,2024-11-11 01:41:00+00:00,2024-11-11 03:41:00+00:00,12,-6.015143124999999,105.95200972222223
311000622,352003328,2024-11-11 13:35:00+00:00,2024-11-11 15:53:00+00:00,12,-6.015182291666666,105.9520570138889
311000622,352003328,2024-11-11 19:26:00+00:00,2024-11-11 23:53:00+00:00,18,-6.015147546296296,105.95203041666667
311000622,352003328,2024-11-12 13:53:00+00:00,2024-11-12 16:41:00+00:00,14,-6.015134940476192,105.95200642857142
352003425,477534200,2024-11-10 11:53:00+00:00,2024-11-10 13:17:00+00:00,10,-6.010570416666667,105.95712958333334
352003425,477534200,2024-11-11 08:02:00+00:00,2024-11-11 11:05:00+00:00,11,-6.010559318181818,105.95713719696968
352003425,477534200,2024-11-11 18:14:00+00:00,2024-11-11 21:59:00+00:00,17,-6.01058544117647,105.9571406372549
352003425,477534200,2024-11-12 09:11:00+00:00,2024-11-12 13:53:00+00:00,17,-6.010549068627451,105.9571168627451
354959000,440354000,2024-12-16 01:04:00+00:00,2024-12-16 03:13:00+00:00,10,-6.01030225,105.95704599999999
354959000,440354000,2024-12-16 04:31:00+00:00,2024-12-16 07:13:00+00:00,11,-6.010303030303032,105.95704893939393
370662000,538009862,2024-12-04 09:33:00+00:00,2024-12-04 12:03:00+00:00,10,-6.015193333333333,105.95202625000002
525016693,525121001,2024-08-04 23:30:00+00:00,2024-08-05 06:00:00+00:00,14,-6.017785238095238,105.95537136904763
525016693,525899371,2024-12-08 12:32:00+00:00,2024-12-08 14:00:00+00:00,10,-6.018449848484849,105.95597409090907
525021037,625005399,2024-11-04 21:21:00+00:00,2024-11-04 23:39:00+00:00,15,-5.945909907407407,105.9932399691358
525022384,667001679,2024-08-25 08:00:00+00:00,2024-08-25 14:30:00+00:00,14,-6.018243511904762,105.9557407738095
525100688,525899371,2024-12-22 09:52:00+00:00,2024-12-22 12:26:00+00:00,15,-6.018813722222221,105.95633644444443
