mmsi_1,mmsi_2,start_time,end_time,duration_min,lat,lon
210029000,210029000,2024-12-23 12:00:00+00:00,2024-12-25 02:00:00+00:00,36,-5.996513888888889,105.96273773148147
212131000,525121059,2024-09-11 13:02:00+00:00,2024-09-12 19:32:00+00:00,35,-6.010180833333333,105.95856771428572
215626000,416056000,2024-08-26 04:02:00+00:00,2024-09-01 01:35:00+00:00,44,-6.010789507575757,105.95684797348484
215626000,525701581,2024-08-24 16:30:00+00:00,2024-09-02 02:02:00+00:00,43,-6.013517984496123,105.95704893410853
215626000,538007490,2024-08-27 02:32:00+00:00,2024-09-02 14:17:00+00:00,34,-6.009629607843137,105.95761350490194
215790000,374134000,2024-12-17 21:52:00+00:00,2024-12-22 11:34:00+00:00,144,-6.012488182870371,105.95513332754629
215790000,440354000,2024-12-17 21:13:00+00:00,2024-12-19 13:13:00+00:00,74,-6.012942229729729,105.95427621621621
215790000,525701581,2024-12-18 00:46:00+00:00,2024-12-22 14:26:00+00:00,50,-6.016399885620915,105.95451084967318
215790000,525899371,2024-12-19 00:37:00+00:00,2024-12-22 13:31:00+00:00,47,-6.017103506944444,105.95415795138888
229697000,371247000,2024-07-05 16:00:00+00:00,2024-07-08 06:00:00+00:00,42,-6.010456408730159,105.95675291666666
229697000,525501695,2024-07-06 19:30:00+00:00,2024-07-08 08:30:00+00:00,43,-6.0146660465116275,105.95615606589148
232027170,525800162,2024-07-25 23:15:00+00:00,2024-07-28 22:34:00+00:00,55,-6.010916833333333,105.95627866666668
232027170,636018821,2024-07-24 22:01:00+00:00,2024-07-28 11:34:00+00:00,41,-6.009590548780488,105.95915918699187
255806386,311000622,2024-11-10 05:26:00+00:00,2024-11-13 20:53:00+00:00,149,-6.016311454138703,105.95382798657718
255806386,352003328,2024-11-10 17:05:00+00:00,2024-11-12 16:32:00+00:00,79,-6.016666002109705,105.95365284810129
255806386,352003425,2024-11-10 14:38:00+00:00,2024-11-12 11:56:00+00:00,60,-6.014160361111111,105.95613238888888
255806386,477534200,2024-11-09 12:47:00+00:00,2024-11-13 20:53:00+00:00,169,-6.014237825443787,105.95644843195267
255806386,525016693,2024-11-09 16:35:00+00:00,2024-11-13 11:23:00+00:00,35,-6.018459238095238,105.95606276190476
256741000,352978143,2024-09-29 22:35:00+00:00,2024-10-03 01:32:00+00:00,68,-6.012558063725491,105.95456307598039
256741000,352986153,2024-09-28 14:50:00+00:00,2024-10-01 05:32:00+00:00,64,-6.012846601562501,105.95429378906252
256741000,525016693,2024-09-24 05:02:00+00:00,2024-10-08 09:02:00+00:00,32,-6.014136796875,105.95620393229166
256741000,525201763,2024-10-03 02:02:00+00:00,2024-10-07 13:02:00+00:00,83,-6.013275040160643,105.95547007028115
256741000,636016657,2024-10-05 22:02:00+00:00,2024-10-09 11:02:00+00:00,78,-6.010657158119657,105.95797840811967
311000622,352003328,2024-11-10 15:53:00+00:00,2024-11-12 16:41:00+00:00,151,-6.015146699779249,105.95202067328918
311000622,352003425,2024-11-10 11:26:00+00:00,2024-11-12 13:53:00+00:00,105,-6.012637880952381,105.95450360317462
311000622,477534200,2024-11-10 05:41:00+00:00,2024-11-14 01:53:00+00:00,311,-6.0127158092175765,105.95482119239013
311000622,525016693,2024-11-10 05:52:00+00:00,2024-11-15 16:26:00+00:00,88,-6.016908772893772,105.95442384615383
311000622,525016699,2024-11-10 05:52:00+00:00,2024-11-13 18:32:00+00:00,38,-6.016904232456139,105.95443655701754
311000622,525701581,2024-11-10 08:14:00+00:00,2024-11-15 19:26:00+00:00,75,-6.016292971491228,105.9549964364035
351108000,477537500,2024-10-26 23:39:00+00:00,2024-10-31 11:00:00+00:00,50,-6.013676566666668,105.95661890000001
351108000,525701581,2024-10-26 23:00:00+00:00,2024-10-31 11:30:00+00:00,52,-6.017644278846153,105.95647940705128
351108000,525701730,2024-10-28 00:30:00+00:00,2024-10-29 10:00:00+00:00,42,-6.0143426785714285,105.95590289682539
351108000,538005790,2024-10-26 21:30:00+00:00,2024-10-31 11:00:00+00:00,75,-6.014165766666666,105.9565324888889
351108000,563189300,2024-10-28 10:30:00+00:00,2024-10-31 00:00:00+00:00,61,-6.016596379781421,105.95354868852458
351243000,525002084,2024-12-10 21:41:00+00:00,2024-12-13 05:13:00+00:00,37,-5.96762525,105.97858327083335
352001155,371247000,2024-07-09 10:01:00+00:00,2024-07-11 04:01:00+00:00,39,-6.011125790598291,105.95651249999999
352001155,373267000,2024-07-09 11:31:00+00:00,2024-07-10 16:31:00+00:00,33,-6.0116463636363635,105.95551171717173
352002084,354959000,2024-12-14 16:10:00+00:00,2024-12-19 01:34:00+00:00,51,-6.009809362745098,105.95900470588235
352002084,357276000,2024-12-14 16:52:00+00:00,2024-12-19 06:39:00+00:00,68,-6.008923644444443,105.96026428888891
352002084,374134000,2024-12-15 10:31:00+00:00,2024-12-23 20:55:00+00:00,46,-6.00957329710145,105.95959414855074
352002084,440354000,2024-12-14 16:52:00+00:00,2024-12-19 10:40:00+00:00,109,-6.010005290519878,105.95874169724772
352002084,636022860,2024-12-17 15:15:00+00:00,2024-12-19 11:36:00+00:00,31,-6.009821801075269,105.96038051075267
352003026,525010301,2024-12-03 13:34:00+00:00,2024-12-06 17:19:00+00:00,39,-5.970725384615385,105.95749963675215
352003160,413387260,2024-07-24 16:35:00+00:00,2024-07-28 06:05:00+00:00,36,-6.008767870370369,105.95893939814815
352003160,567072800,2024-07-22 15:01:00+00:00,2024-07-25 09:04:00+00:00,31,-6.009994032258063,105.95729212365593
352003271,525010240,2024-09-15 00:30:00+00:00,2024-09-16 06:00:00+00:00,43,-6.009470988372092,105.95941773255814
352003271,538006720,2024-09-15 00:30:00+00:00,2024-09-16 08:00:00+00:00,41,-6.013372621951219,105.95380296747969
352003328,352003425,2024-11-10 15:53:00+00:00,2024-11-12 13:53:00+00:00,101,-6.012983135313532,105.95432602310231
352003328,477534200,2024-11-10 15:53:00+00:00,2024-11-12 16:41:00+00:00,142,-6.013073485915492,105.95464608568074
352003328,525016693,2024-11-10 15:53:00+00:00,2024-11-13 14:40:00+00:00,41,-6.017275871212121,105.9542496780303
352003337,405000240,2024-11-17 18:13:00+00:00,2024-11-18 21:43:00+00:00,63,-6.010903862433864,105.95677251322753
352003425,477534200,2024-11-10 11:53:00+00:00,2024-11-12 13:53:00+00:00,122,-6.01056868852459,105.95713032786885
352003425,525300236,2024-11-10 11:39:00+00:00,2024-11-12 03:41:00+00:00,61,-6.008679180327869,105.96025790983607
352003432,525001121,2024-10-03 08:30:00+00:00,2024-10-05 16:00:00+00:00,59,-5.953757754237288,105.98273197740113
352003432,525002068,2024-09-28 09:30:00+00:00,2024-10-01 13:00:00+00:00,66,-5.954502676767677,105.98277366161616
352003432,525002069,2024-09-28 09:30:00+00:00,2024-10-05 01:00:00+00:00,49,-5.954207142857142,105.9770349319728
352003432,525004089,2024-09-28 09:00:00+00:00,2024-10-04 21:00:00+00:00,41,-5.952368008130081,105.9817168902439
352003432,525007397,2024-09-28 09:00:00+00:00,2024-10-03 13:30:00+00:00,37,-5.951985337837838,105.97647948198197
352003432,525015381,2024-09-29 21:33:00+00:00,2024-10-05 02:30:00+00:00,133,-5.956218577694235,105.98191632205514
352003432,525022330,2024-09-28 09:00:00+00:00,2024-10-03 09:00:00+00:00,124,-5.950328635752688,105.98140997983872
352003432,525024001,2024-09-28 09:00:00+00:00,2024-10-05 16:00:00+00:00,195,-5.95061455982906,105.98307588888889
352003432,525024056,2024-09-29 19:00:00+00:00,2024-10-02 23:30:00+00:00,54,-5.953436033950617,105.98079816358025
352003432,525200126,2024-09-28 09:00:00+00:00,2024-10-01 09:00:00+00:00,87,-5.952764827586207,105.98321256704982
352004211,477534200,2024-11-04 01:35:00+00:00,2024-11-05 22:26:00+00:00,95,-6.011027105263158,105.9566412894737
352004211,525016699,2024-11-04 21:50:00+00:00,2024-11-05 16:53:00+00:00,41,-6.014710609756098,105.95565719512193
352978134,525701730,2024-10-30 14:02:00+00:00,2024-11-01 21:02:00+00:00,68,-6.011306740196079,105.95585306372548
353172000,525005232,2024-11-18 19:52:00+00:00,2024-11-20 10:52:00+00:00,59,-5.967455564516131,105.96360162634409
353172000,525024001,2024-11-20 02:40:00+00:00,2024-11-21 05:40:00+00:00,34,-5.9600614285714295,105.96551700000002
353172000,525701025,2024-11-18 20:04:00+00:00,2024-11-19 07:31:00+00:00,46,-5.959150434782609,105.96324846014491
353854000,525700820,2024-11-15 14:39:00+00:00,2024-11-18 12:24:00+00:00,32,-5.920732083333333,105.99622
354161000,525701152,2024-10-06 08:30:00+00:00,2024-10-08 11:00:00+00:00,31,-6.016055241935483,105.95538924731184
354161000,525701581,2024-10-06 08:30:00+00:00,2024-10-09 06:00:00+00:00,81,-6.015362767489711,105.95599311728398
354432000,525010240,2024-09-30 08:30:00+00:00,2024-10-01 10:00:00+00:00,31,-6.00057064516129,105.93182163978496
354959000,357276000,2024-12-14 13:13:00+00:00,2024-12-19 00:52:00+00:00,98,-6.009210518707484,105.95857004251702
354959000,374134000,2024-12-14 21:37:00+00:00,2024-12-19 00:43:00+00:00,91,-6.0098560897435895,105.95790063186813
354959000,440354000,2024-12-13 13:28:00+00:00,2024-12-19 01:34:00+00:00,194,-6.010297689003437,105.95704513745704
354959000,525701581,2024-10-25 04:30:00+00:00,2024-12-18 16:13:00+00:00,41,-6.013950476190477,105.95731609126985
355706000,371247000,2024-07-07 08:04:00+00:00,2024-07-11 08:31:00+00:00,43,-6.010883100775194,105.95819513565891
356048000,538005855,2024-08-14 00:32:00+00:00,2024-08-16 23:32:00+00:00,74,-6.010892736486487,105.9567436036036
356048000,538008025,2024-08-15 21:02:00+00:00,2024-08-16 23:32:00+00:00,32,-6.012183151041667,105.95498416666666
356467000,525121059,2024-11-27 23:26:00+00:00,2024-11-30 04:02:00+00:00,65,-5.993975192307692,105.92237838461539
357053000,525300226,2024-09-02 14:00:00+00:00,2024-09-05 07:30:00+00:00,57,-6.015196769005847,105.95774356725147
357081000,525121059,2024-10-10 01:01:00+00:00,2024-10-11 15:31:00+00:00,36,-6.010298472222222,105.95705557870372
357146000,477534200,2024-11-03 01:32:00+00:00,2024-11-04 18:02:00+00:00,33,-6.009546944444444,105.95865555555555
357254000,477708200,2024-11-28 04:59:00+00:00,2024-11-29 20:29:00+00:00,42,-6.009692936507936,105.96051323412699
357254000,563088400,2024-11-27 10:53:00+00:00,2024-11-29 15:41:00+00:00,52,-6.011521057692308,105.95712774038459
357276000,357276000,2024-12-14 08:00:00+00:00,2024-12-21 23:00:00+00:00,148,-6.007336261261261,105.95947032657658
357276000,374134000,2024-12-14 12:39:00+00:00,2024-12-22 01:31:00+00:00,174,-6.008966662087911,105.95916557234433
357276000,440354000,2024-12-14 11:52:00+00:00,2024-12-19 13:39:00+00:00,257,-6.009413921188631,105.95831259689923
357276000,538010302,2024-12-14 18:00:00+00:00,2024-12-22 00:00:00+00:00,53,-6.008127631578947,105.9596266491228
357276000,563097100,2024-12-20 13:13:00+00:00,2024-12-22 01:31:00+00:00,42,-6.007911765873017,105.96141335317459
357276000,563126100,2024-12-14 13:39:00+00:00,2024-12-17 22:26:00+00:00,53,-6.007626606060607,105.96169292424241
357276000,563209900,2024-12-20 15:00:00+00:00,2024-12-22 00:26:00+00:00,30,-6.009336048387096,105.95832368279571
357276000,636022860,2024-12-15 21:00:00+00:00,2024-12-19 16:00:00+00:00,71,-6.009216135620915,105.95994986928109
370662000,525024017,2024-12-01 14:36:00+00:00,2024-12-05 17:06:00+00:00,77,-6.016527586580088,105.95476196969697
370662000,525200515,2024-12-01 19:00:00+00:00,2024-12-04 04:00:00+00:00,30,-6.01682093495935,105.95379274390243
370662000,525701581,2024-12-01 11:39:00+00:00,2024-12-06 10:00:00+00:00,55,-6.0165839925373135,105.95479355721393
370662000,525899371,2024-12-02 20:45:00+00:00,2024-12-06 13:06:00+00:00,37,-6.0174327564102565,105.95434386752135
370662000,538009862,2024-12-02 05:42:00+00:00,2024-12-06 17:01:00+00:00,92,-6.015150896057347,105.95203634408604
371247000,525501695,2024-07-06 19:30:00+00:00,2024-07-08 11:30:00+00:00,38,-6.013163837719298,105.95776706140352
371493000,525701581,2024-08-31 07:02:00+00:00,2024-12-26 23:31:00+00:00,38,-6.015848969298246,105.9546471491228
371493000,563043600,2024-12-21 19:44:00+00:00,2024-12-23 14:08:00+00:00,88,-6.015994801136364,105.95350178977273
371493000,563209900,2024-12-21 19:32:00+00:00,2024-12-26 23:27:00+00:00,62,-6.012584206989248,105.95446913978496
371493000,636018887,2024-12-23 01:26:00+00:00,2024-12-26 23:31:00+00:00,71,-6.015160575117371,105.95196017605635
371493000,636020792,2024-12-22 11:53:00+00:00,2024-12-25 14:02:00+00:00,56,-6.013382648809524,105.95367691964286
371844000,477684600,2024-09-16 15:02:00+00:00,2024-09-17 13:02:00+00:00,30,-6.009624638888888,105.95815052777776
371844000,566850000,2024-10-14 04:34:00+00:00,2024-10-16 14:01:00+00:00,34,-6.013767034313726,105.95651382352942
371844000,636018880,2024-09-16 15:02:00+00:00,2024-09-17 17:02:00+00:00,30,-6.009968972222223,105.95886605555555
372241000,372728000,2024-12-07 13:37:00+00:00,2024-12-09 05:37:00+00:00,39,-6.009921004273504,105.95784908119658
372241000,538009862,2024-12-07 10:34:00+00:00,2024-12-09 02:13:00+00:00,56,-6.0128731547619045,105.95436084821428
372241000,563088200,2024-12-07 16:55:00+00:00,2024-12-09 05:37:00+00:00,30,-6.011533138888889,105.95576427777777
372728000,563088200,2024-12-07 16:25:00+00:00,2024-12-10 00:49:00+00:00,42,-6.010550357142857,105.95716132936509
373619000,636020967,2024-08-05 10:32:00+00:00,2024-08-06 15:02:00+00:00,32,-6.010062994791667,105.95765005208332
374134000,440354000,2024-12-12 18:39:00+00:00,2024-12-19 13:31:00+00:00,218,-6.010060695718654,105.95763812308867
374134000,525701581,2024-12-11 10:00:00+00:00,2024-12-26 20:43:00+00:00,182,-6.013468639896373,105.95793988341968
374134000,525899371,2024-12-11 21:27:00+00:00,2024-12-24 19:01:00+00:00,32,-6.013634494949496,105.95688482323231
374134000,563097100,2024-12-20 11:19:00+00:00,2024-12-25 17:34:00+00:00,115,-6.008549101449274,105.96073406521741
374134000,563126100,2024-12-10 01:33:00+00:00,2024-12-14 21:36:00+00:00,207,-6.008267355072464,105.9610182125604
374134000,636018887,2024-12-24 11:13:00+00:00,2024-12-26 20:31:00+00:00,134,-6.012527555970149,105.95514062189054
405000240,477928400,2024-11-20 17:31:00+00:00,2024-11-23 01:40:00+00:00,72,-6.0116043287037035,105.9560054976852
