mmsi,vessel_type
525200009,UNKNOWN
525010227,NOT_FOUND
525005373,Cement Carrier
525007397,Passenger/Ro-Ro Cargo Ship
352003702,General Cargo Ship
525001136,Passenger/General Cargo Ship
525121022,Oil Products Tanker
525103002,Bulk Carrier
538007611,Vehicles Carrier
525601246,UNKNOWN
525300917,Passenger/Ro-Ro Cargo Ship
525024295,Passenger/Ro-Ro Cargo Ship
310664000,LNG Tanker
525101872,UNKNOWN
370229000,Chemical/Oil Products Tanker
525016696,NOT_FOUND
525002087,Passenger/Ro-Ro Cargo Ship
525300640,UNKNOWN
525012201,Self Discharging Bulk Carrier
525022330,Passenger/Ro-Ro Cargo Ship
525001068,Passenger/Ro-Ro Cargo Ship
525023144,Passenger/Ro-Ro Cargo Ship
525012215,Passenger/Ro-Ro Cargo Ship
525300471,UNKNOWN
525019408,Passenger/Ro-Ro Cargo Ship
525005232,Passenger/Ro-Ro Cargo Ship
525022100,Passenger/Ro-Ro Cargo Ship
525100600,Passenger/Ro-Ro Cargo Ship
525024001,Passenger/Ro-Ro Cargo Ship
525015491,Passenger/Ro-Ro Cargo Ship
538007705,Heavy Load Carrier
525010092,Tug
525005177,Passenger/Ro-Ro Cargo Ship
525012038,NOT_FOUND
525024237,Tug
563155400,LPG Tanker
574418000,Bulk Carrier
563125800,Chemical/Oil Products Tanker
525900655,UNKNOWN
525601555,NOT_FOUND
525012321,Offshore Tug/Supply Ship
525018192,NOT_FOUND
525100633,Passenger/Ro-Ro Cargo Ship
246351000,Hopper Dredger
525201708,Passenger/Ro-Ro Cargo Ship
525300391,Passenger/Ro-Ro Cargo Ship
525100582,Passenger/Ro-Ro Cargo Ship
525010303,UNKNOWN
525021421,Passenger/Ro-Ro Cargo Ship
525006235,Passenger/Ro-Ro Cargo Ship
305062000,General Cargo Ship
525300875,UNKNOWN
525200350,Tug
525006278,UNKNOWN
525003465,Passenger/Ro-Ro Cargo Ship
525024354,UNKNOWN
525001121,UNKNOWN
525015868,Passenger/Ro-Ro Cargo Ship
525022095,UNKNOWN
525701011,Bulk Carrier
525008120,Oil Products Tanker
525002061,Passenger/Ro-Ro Cargo Ship
525006403,Container Ship
525015152,UNKNOWN
525900995,UNKNOWN
525200335,Passenger/Ro-Ro Cargo Ship
432353000,Fishing Vessel
525020214,UNKNOWN
525012002,Self Discharging Bulk Carrier
525501154,Deck Cargo Ship
525100493,Passenger/Ro-Ro Cargo Ship
636019772,Bulk Carrier
525015375,Passenger/Ro-Ro Cargo Ship
525007232,Chemical Tanker
525003395,Pusher Tug
525113007,Bulk Carrier
525100688,Passenger/Ro-Ro Cargo Ship
525200031,Passenger/Ro-Ro Cargo Ship
525021074,UNKNOWN
525025070,General Cargo Ship
525500264,UNKNOWN
525601859,UNKNOWN
5251017,NOT_FOUND
525024304,NOT_FOUND
525401711,UNKNOWN
525100695,Passenger/Ro-Ro Cargo Ship
525006076,UNKNOWN
574005740,Bulk Carrier
525006132,Oil Products Tanker
525200832,Oil Products Tanker
525009248,UNKNOWN
525113014,Bulk Carrier
525004089,Passenger/Ro-Ro Cargo Ship
525501470,Bulk Carrier
525015392,General Cargo Ship
525201093,Passenger/Ro-Ro Cargo Ship
525501099,Bulk Carrier
525021185,Tug
525500603,Passenger/Ro-Ro Cargo Ship
319600000,Wood Chips Carrier
525016714,Passenger/Ro-Ro Cargo Ship
525201853,LPG Tanker
525009341,UNKNOWN
525400886,UNKNOWN
525125031,General Cargo Ship
525022129,Aggregates Carrier
525121059,Bulk Carrier
525900437,Bulk Carrier
525121046,Bulk Carrier
525022300,Passenger/Ro-Ro Cargo Ship
525121060,LPG Tanker
525015381,Passenger/Ro-Ro Cargo Ship
667001977,General Cargo Ship
625005399,Oil Products Tanker
352001184,Bulk Carrier
525016447,UNKNOWN
525019468,Passenger/Ro-Ro Cargo Ship
525121071,Bulk Carrier
525015954,Offshore Support Vessel
525011019,UNKNOWN
525005350,Chemical/Oil Products Tanker
525019617,Offshore Tug/Supply Ship
525015864,UNKNOWN
525022393,General Cargo Ship
525120022,Bulk Carrier
525007030,Oil Products Tanker
525100318,Bulk Carrier
525018301,Hopper Dredger
525100805,Passenger/Ro-Ro Cargo Ship
567062200,Oil Products Tanker
525009246,UNKNOWN
525016457,UNKNOWN
355741000,General Cargo Ship
525501486,Tug
525005190,UNKNOWN
525020234,Container Ship
538004288,NOT_FOUND
525301673,General Cargo Ship
525701004,UNKNOWN
538007318,Bulk Carrier
525019637,Oil Products Tanker
525701071,Bulk Carrier
525022327,Tug
525015407,UNKNOWN
564310000,NOT_FOUND
525501978,Aggregates Carrier
525019293,Passenger/Ro-Ro Cargo Ship
525201763,Bulk Carrier
525016382,UNKNOWN
525017091,NOT_FOUND
525113018,Bulk Carrier
525002063,Passenger/Ro-Ro Cargo Ship
525015983,UNKNOWN
413293310,Liquefied Gas
525200475,UNKNOWN
525301119,Oil Products Tanker
525114037,Chemical/Oil Products Tanker
525500416,UNKNOWN
525400835,General Cargo Ship
525023120,UNKNOWN
525121064,LPG Tanker
667001856,UNKNOWN
525401151,UNKNOWN
248917000,Vehicles Carrier
525006305,UNKNOWN
525111005,Crude Oil Tanker
525100375,Passenger/Ro-Ro Cargo Ship
525113031,Container Ship
563144500,Container Ship
241743000,LNG Tanker
525200126,Passenger/Ro-Ro Cargo Ship
525019409,Passenger/Ro-Ro Cargo Ship
525601515,UNKNOWN
525300595,Passenger/Ro-Ro Cargo Ship
525106002,Bulk Carrier
525601229,UNKNOWN
525500325,Aggregates Carrier
525012202,UNKNOWN
525024056,Passenger/Ro-Ro Cargo Ship
525013016,Container Ship
9133414,NOT_FOUND
525100777,Passenger/Ro-Ro Cargo Ship
525400548,UNKNOWN
525020346,UNKNOWN
525200374,Passenger/Ro-Ro Cargo Ship
525024017,Tug
525601531,Chemical/Oil Products Tanker
525014054,Oil Products Tanker
525022266,Oil Products Tanker
525018178,UNKNOWN
525020400,Chemical Tanker
525022084,UNKNOWN
525101819,Oil Products Tanker
525015890,UNKNOWN
525020044,NOT_FOUND
525900050,Chemical Tanker
525100052,UNKNOWN
525112003,Bulk Carrier
477855600,NOT_FOUND
525300504,UNKNOWN
525601213,Oil Products Tanker
525107014,LPG Tanker
525601458,General Cargo Ship
525006401,Deck Cargo Ship
525701151,UNKNOWN
525003452,UNKNOWN
525010322,Oil Products Tanker
525200924,Passenger/Ro-Ro Cargo Ship
525119161,NOT_FOUND
525015932,Passenger/Ro-Ro Cargo Ship
525018194,Chemical/Oil Products Tanker
200000000,UNKNOWN
525101491,UNKNOWN
525003543,UNKNOWN
574005910,General Cargo Ship
525100963,UNKNOWN
525002084,Passenger/Ro-Ro Cargo Ship
525342105,UNKNOWN
374419000,Chemical/Oil Products Tanker
525007392,Passenger/Ro-Ro Cargo Ship
525114107,Chemical/Oil Products Tanker
525020171,UNKNOWN
566356000,Bulk Carrier
374339000,Chemical/Oil Products Tanker
526066582,NOT_FOUND
525006035,UNKNOWN
477652700,Bulk Carrier
525015377,Passenger/Ro-Ro Cargo Ship
525005027,UNKNOWN
525100580,UNKNOWN
525119018,Passenger/Ro-Ro Cargo Ship
525007205,UNKNOWN
525100336,Passenger/Ro-Ro Cargo Ship
441964000,LPG Tanker
525003207,UNKNOWN
525201301,UNKNOWN
525120005,UNKNOWN
525401107,LPG Tanker
636020221,Container Ship
525004081,NOT_FOUND
525501217,Bulk Carrier
314784000,Bulk Carrier
311000193,General Cargo Ship
525109012,Bulk Carrier
525009270,UNKNOWN
525200942,UNKNOWN
525016452,UNKNOWN
356876000,Chemical/Oil Products Tanker
525501760,Pusher Tug
525600385,Bulk Carrier
525005398,General Cargo Ship
525009343,UNKNOWN
525301990,UNKNOWN
525701253,Tug
525401673,UNKNOWN
525201930,UNKNOWN
525016658,LPG Tanker
525010314,UNKNOWN
370700000,Container Ship
525006220,Chemical Tanker
636020253,Bulk Carrier
525003643,Chemical/Oil Products Tanker
636015481,Container Ship
440017000,Container Ship
525022166,UNKNOWN
525015817,Chemical/Oil Products Tanker
525121047,Bulk Carrier
0,NOT_FOUND
525310205,UNKNOWN
525121045,LPG Tanker
525015242,NOT_FOUND
525015129,UNKNOWN
525012279,Tug
525601995,Bulk Carrier
525200439,UNKNOWN
636021075,Bulk Carrier
525066145,UNKNOWN
229921000,Container Ship
525015862,UNKNOWN
525301543,UNKNOWN
525016693,UNKNOWN
525016699,Tug
636091273,NOT_FOUND
525200129,UNKNOWN
525113034,Container Ship
525024226,UNKNOWN
525104001,Bitumen Tanker
525016608,LPG Tanker
525200100,UNKNOWN
525601158,UNKNOWN
525301067,UNKNOWN
636021169,Chemical/Oil Products Tanker
525021218,Tug
525009335,UNKNOWN
525020109,Chemical/Oil Products Tanker
525201198,UNKNOWN
525501412,UNKNOWN
440306000,Chemical/Oil Products Tanker
525100652,UNKNOWN
525001125,UNKNOWN
525114001,Oil Products Tanker
357279000,General Cargo Ship
525013031,Container Ship
525006105,Tug
525017090,Ro-Ro Cargo Ship
525004015,Oil Products Tanker
525900722,LPG Tanker
538009941,Bulk Carrier
525005032,UNKNOWN
525501636,Deck Cargo Ship
525010011,UNKNOWN
525900241,NOT_FOUND
525013034,Container Ship
419001755,Oil Products Tanker
525000998,UNKNOWN
636015991,Vehicles Carrier
525119217,Ro-Ro Cargo Ship
525300196,UNKNOWN
525900790,UNKNOWN
525300165,Vehicles Carrier
525003175,Oil Products Tanker
525007177,Deck Cargo Ship
525020411,NOT_FOUND
525301151,Oil Products Tanker
525400167,UNKNOWN
353007000,Chemical/Oil Products Tanker
525008070,Crude Oil Tanker
525002086,Passenger/Ro-Ro Cargo Ship
636023204,General Cargo Ship
525201125,Oil Products Tanker
525024016,Tug
525700527,UNKNOWN
525119057,Crude Oil Tanker
525021137,UNKNOWN
