mmsi,ship_name,vessel_type,detailed_type
525200009,,,
525010227,"Sorry, you have been blocked",,
525005373,"Sorry, you have been blocked",,
525007397,"Sorry, you have been blocked",,
352003702,"Sorry, you have been blocked",,
525001136,"Sorry, you have been blocked",,
525121022,"Sorry, you have been blocked",,
525103002,"Sorry, you have been blocked",,
538007611,"Sorry, you have been blocked",,
525601246,"Sorry, you have been blocked",,
525300917,"Sorry, you have been blocked",,
525024295,"Sorry, you have been blocked",,
310664000,"Sorry, you have been blocked",,
525101872,"Sorry, you have been blocked",,
370229000,"Sorry, you have been blocked",,
525016696,"Sorry, you have been blocked",,
525002087,"Sorry, you have been blocked",,
525300640,"Sorry, you have been blocked",,
525012201,"Sorry, you have been blocked",,
525022330,"Sorry, you have been blocked",,
