Jenis Kapal,Jumlah (Unit)
Bulk Carrier,1633
General Cargo Ship,633
Container Ship,553
Chemical/Oil Products Tanker,507
Tug,304
Oil Products Tanker,238
Crude Oil Tanker,196
Vehicles Carrier,162
LPG Tanker,148
LNG Tanker,116
Passenger/Ro-Ro Cargo Ship,79
Landing Craft,54
Offshore Tug/Supply Ship,45
Wood Chips Carrier,43
Chemical Tanker,38
Bitumen Tanker,32
Deck Cargo Ship,26
Heavy Load Carrier,24
Cement Carrier,23
Livestock Carrier,19
Ro-Ro Cargo Ship,16
Passenger Ship,15
Aggregates Carrier,14
Offshore Support Vessel,13
Utility Vessel,12
Bunkering Tanker,11
Passenger (Cruise) Ship,11
Patrol Vessel,10
Refrigerated Cargo Ship,10
Research Vessel,8
Anchor Hoy,7
Cable Layer,5
Hopper Dredger,5
Yacht,5
Crew Boat,5
Hospital Vessel,4
Fishing Vessel,4
Pusher Tug,4
Buoy/Lighthouse Vessel,3
Dredger,3
Crane Ship,3
Vessel (function unknown),3
Bulk/Oil Carrier,3
Training Ship,3
Vegetable Oil Tanker,3
Urea Carrier,3
Naval/Naval Auxiliary,2
Passenger/General Cargo Ship,2
Self Discharging Bulk Carrier,2
Platform,2
FSO,2
Non Propelled Barge,2
Work/Repair Vessel,2
Liquefied Gas,1
Pollution Control Vessel,1
Motor Hopper,1
Edible Oil Tanker,1
Sailing Vessel,1
ERROR,1
Supply Tender,1
Sail Training Ship,1
Fish Carrier,1
Pontoon,1
Salvage Ship,1
Drilling Ship,1
