mmsi,vessel_type
525200009,
525010227,ERROR
525005373,Cement Carrier
525007397,Passenger/Ro-Ro Cargo Ship
352003702,General Cargo Ship
525001136,Passenger/General Cargo Ship
525121022,Oil Products Tanker
525103002,Bulk Carrier
538007611,Vehicles Carrier
525601246,
525300917,Passenger/Ro-Ro Cargo Ship
525024295,ERROR
310664000,LNG Tanker
525101872,
370229000,ERROR
525016696,ERROR
525002087,Passenger/Ro-Ro Cargo Ship
525300640,
525012201,Self Discharging Bulk Carrier
525022330,Passenger/Ro-Ro Cargo Ship
